Date,Session,Type,Purge_Time,Revert_Time
2021-11-08,London,Purge High,2021-11-08 03:16:00-05:00,2021-11-08 03:16:00-05:00
2021-11-09,London,Purge High,2021-11-09 02:12:00-05:00,2021-11-09 02:14:00-05:00
2021-11-16,London,Purge Low,2021-11-16 03:35:00-05:00,2021-11-16 04:03:00-05:00
2021-11-17,London,Purge High,2021-11-17 03:14:00-05:00,2021-11-17 03:14:00-05:00
2021-11-22,London,Purge High,2021-11-22 03:23:00-05:00,2021-11-22 03:23:00-05:00
2021-11-23,London,Purge Low,2021-11-23 02:09:00-05:00,2021-11-23 02:28:00-05:00
2021-11-24,London,Purge Low,2021-11-24 04:53:00-05:00,2021-11-24 04:57:00-05:00
2021-11-25,London,Purge High,2021-11-25 02:00:00-05:00,2021-11-25 06:12:00-05:00
2021-11-29,London,Purge High,2021-11-29 02:00:00-05:00,2021-11-29 02:00:00-05:00
2021-12-06,London,Purge High,2021-12-06 02:01:00-05:00,2021-12-06 02:01:00-05:00
2021-12-06,London,Purge Low,2021-12-06 05:25:00-05:00,2021-12-06 06:55:00-05:00
2021-12-08,London,Purge High,2021-12-08 06:46:00-05:00,2021-12-08 06:46:00-05:00
2021-12-09,London,Purge Low,2021-12-09 04:11:00-05:00,2021-12-09 04:30:00-05:00
2021-12-13,London,Purge High,2021-12-13 06:41:00-05:00,2021-12-13 06:41:00-05:00
2021-12-15,London,Purge Low,2021-12-15 04:15:00-05:00,2021-12-15 05:43:00-05:00
2021-12-17,London,Purge Low,2021-12-17 04:11:00-05:00,2021-12-17 04:53:00-05:00
2021-12-20,London,Purge Low,2021-12-20 02:05:00-05:00,2021-12-20 02:12:00-05:00
2021-12-21,London,Purge High,2021-12-21 02:00:00-05:00,2021-12-21 03:00:00-05:00
2021-12-22,London,Purge High,2021-12-22 06:57:00-05:00,2021-12-22 06:58:00-05:00
2021-12-23,London,Purge High,2021-12-23 05:51:00-05:00,2021-12-23 06:14:00-05:00
2021-12-27,London,Purge Low,2021-12-27 02:31:00-05:00,2021-12-27 02:33:00-05:00
2022-01-03,London,Purge High,2022-01-03 05:22:00-05:00,2022-01-03 05:22:00-05:00
2022-01-04,London,Purge High,2022-01-04 02:00:00-05:00,2022-01-04 02:02:00-05:00
2022-01-05,London,Purge Low,2022-01-05 02:39:00-05:00,2022-01-05 02:41:00-05:00
2022-01-10,London,Purge High,2022-01-10 02:00:00-05:00,2022-01-10 02:13:00-05:00
2022-01-10,London,Purge Low,2022-01-10 06:23:00-05:00,2022-01-10 06:24:00-05:00
2022-01-12,London,Purge High,2022-01-12 02:00:00-05:00,2022-01-12 03:17:00-05:00
2022-01-13,London,Purge High,2022-01-13 03:26:00-05:00,2022-01-13 03:49:00-05:00
2022-01-19,London,Purge Low,2022-01-19 02:44:00-05:00,2022-01-19 02:44:00-05:00
2022-01-20,London,Purge High,2022-01-20 02:00:00-05:00,2022-01-20 02:23:00-05:00
2022-01-24,London,Purge Low,2022-01-24 05:14:00-05:00,2022-01-24 05:14:00-05:00
2022-01-25,London,Purge Low,2022-01-25 02:12:00-05:00,2022-01-25 02:15:00-05:00
2022-01-26,London,Purge High,2022-01-26 04:03:00-05:00,2022-01-26 04:03:00-05:00
2022-01-31,London,Purge High,2022-01-31 03:45:00-05:00,2022-01-31 03:45:00-05:00
2022-02-01,London,Purge High,2022-02-01 02:01:00-05:00,2022-02-01 04:29:00-05:00
2022-02-03,London,Purge Low,2022-02-03 06:20:00-05:00,2022-02-03 06:21:00-05:00
2022-02-04,London,Purge High,2022-02-04 02:00:00-05:00,2022-02-04 02:14:00-05:00
2022-02-04,London,Purge Low,2022-02-04 04:21:00-05:00,2022-02-04 04:27:00-05:00
2022-02-07,London,Purge High,2022-02-07 02:00:00-05:00,2022-02-07 02:48:00-05:00
2022-02-08,London,Purge Low,2022-02-08 02:31:00-05:00,2022-02-08 02:34:00-05:00
2022-02-11,London,Purge Low,2022-02-11 02:00:00-05:00,2022-02-11 02:00:00-05:00
2022-02-14,London,Purge High,2022-02-14 02:55:00-05:00,2022-02-14 02:56:00-05:00
2022-02-14,London,Purge Low,2022-02-14 03:18:00-05:00,2022-02-14 03:18:00-05:00
2022-02-16,London,Purge High,2022-02-16 02:01:00-05:00,2022-02-16 02:02:00-05:00
2022-02-21,London,Purge High,2022-02-21 02:00:00-05:00,2022-02-21 03:35:00-05:00
2022-02-23,London,Purge High,2022-02-23 03:10:00-05:00,2022-02-23 03:10:00-05:00
2022-02-24,London,Purge Low,2022-02-24 02:05:00-05:00,2022-02-24 02:09:00-05:00
2022-02-28,London,Purge High,2022-02-28 02:35:00-05:00,2022-02-28 03:37:00-05:00
2022-03-01,London,Purge High,2022-03-01 02:06:00-05:00,2022-03-01 02:53:00-05:00
2022-03-02,London,Purge Low,2022-03-02 02:04:00-05:00,2022-03-02 02:06:00-05:00
2022-03-03,London,Purge High,2022-03-03 02:00:00-05:00,2022-03-03 02:03:00-05:00
2022-03-08,London,Purge Low,2022-03-08 02:00:00-05:00,2022-03-08 03:12:00-05:00
2022-03-09,London,Purge High,2022-03-09 02:15:00-05:00,2022-03-09 02:15:00-05:00
2022-03-14,London,Purge High,2022-03-14 05:51:00-04:00,2022-03-14 06:00:00-04:00
2022-03-15,London,Purge Low,2022-03-15 03:00:00-04:00,2022-03-15 03:00:00-04:00
2022-03-17,London,Purge High,2022-03-17 02:55:00-04:00,2022-03-17 02:57:00-04:00
2022-03-21,London,Purge Low,2022-03-21 02:00:00-04:00,2022-03-21 02:36:00-04:00
2022-03-22,London,Purge High,2022-03-22 03:53:00-04:00,2022-03-22 03:53:00-04:00
2022-03-25,London,Purge High,2022-03-25 02:15:00-04:00,2022-03-25 02:16:00-04:00
2022-03-28,London,Purge Low,2022-03-28 02:00:00-04:00,2022-03-28 02:14:00-04:00
2022-04-04,London,Purge High,2022-04-04 02:00:00-04:00,2022-04-04 03:08:00-04:00
2022-04-05,London,Purge High,2022-04-05 02:00:00-04:00,2022-04-05 02:00:00-04:00
2022-04-08,London,Purge High,2022-04-08 02:09:00-04:00,2022-04-08 02:10:00-04:00
2022-04-11,London,Purge Low,2022-04-11 03:15:00-04:00,2022-04-11 03:15:00-04:00
2022-04-13,London,Purge High,2022-04-13 02:00:00-04:00,2022-04-13 02:38:00-04:00
2022-04-14,London,Purge High,2022-04-14 02:00:00-04:00,2022-04-14 02:03:00-04:00
2022-04-20,London,Purge High,2022-04-20 03:13:00-04:00,2022-04-20 03:13:00-04:00
2022-04-21,London,Purge Low,2022-04-21 02:13:00-04:00,2022-04-21 02:14:00-04:00
2022-04-25,London,Purge Low,2022-04-25 02:12:00-04:00,2022-04-25 02:15:00-04:00
2022-04-28,London,Purge High,2022-04-28 02:02:00-04:00,2022-04-28 02:05:00-04:00
2022-04-29,London,Purge High,2022-04-29 02:00:00-04:00,2022-04-29 03:04:00-04:00
2022-05-02,London,Purge High,2022-05-02 03:02:00-04:00,2022-05-02 03:03:00-04:00
2022-05-04,London,Purge Low,2022-05-04 03:25:00-04:00,2022-05-04 03:28:00-04:00
2022-05-05,London,Purge High,2022-05-05 02:00:00-04:00,2022-05-05 02:00:00-04:00
2022-05-06,London,Purge Low,2022-05-06 03:33:00-04:00,2022-05-06 03:53:00-04:00
2022-05-09,London,Purge Low,2022-05-09 04:07:00-04:00,2022-05-09 04:07:00-04:00
2022-05-12,London,Purge Low,2022-05-12 02:00:00-04:00,2022-05-12 02:03:00-04:00
2022-05-13,London,Purge High,2022-05-13 03:31:00-04:00,2022-05-13 03:31:00-04:00
2022-05-16,London,Purge Low,2022-05-16 03:22:00-04:00,2022-05-16 03:24:00-04:00
2022-05-17,London,Purge High,2022-05-17 02:00:00-04:00,2022-05-17 02:06:00-04:00
2022-05-19,London,Purge Low,2022-05-19 03:30:00-04:00,2022-05-19 03:57:00-04:00
2022-05-20,London,Purge High,2022-05-20 02:00:00-04:00,2022-05-20 02:06:00-04:00
2022-05-23,London,Purge High,2022-05-23 02:08:00-04:00,2022-05-23 02:08:00-04:00
2022-05-23,London,Purge Low,2022-05-23 04:37:00-04:00,2022-05-23 04:37:00-04:00
2022-05-24,London,Purge Low,2022-05-24 02:00:00-04:00,2022-05-24 02:02:00-04:00
2022-05-25,London,Purge Low,2022-05-25 04:07:00-04:00,2022-05-25 04:32:00-04:00
2022-05-26,London,Purge Low,2022-05-26 02:08:00-04:00,2022-05-26 02:08:00-04:00
2022-05-31,London,Purge Low,2022-05-31 02:49:00-04:00,2022-05-31 02:50:00-04:00
2022-06-01,London,Purge Low,2022-06-01 02:00:00-04:00,2022-06-01 02:47:00-04:00
2022-06-06,London,Purge High,2022-06-06 02:31:00-04:00,2022-06-06 02:34:00-04:00
2022-06-07,London,Purge Low,2022-06-07 02:00:00-04:00,2022-06-07 02:03:00-04:00
2022-06-09,London,Purge High,2022-06-09 04:53:00-04:00,2022-06-09 04:53:00-04:00
2022-06-10,London,Purge Low,2022-06-10 03:24:00-04:00,2022-06-10 03:25:00-04:00
2022-06-13,London,Purge Low,2022-06-13 02:04:00-04:00,2022-06-13 02:10:00-04:00
2022-06-16,London,Purge Low,2022-06-16 03:34:00-04:00,2022-06-16 03:34:00-04:00
2022-06-21,London,Purge High,2022-06-21 03:31:00-04:00,2022-06-21 05:53:00-04:00
2022-06-23,London,Purge High,2022-06-23 04:13:00-04:00,2022-06-23 04:17:00-04:00
2022-06-24,London,Purge High,2022-06-24 02:00:00-04:00,2022-06-24 02:09:00-04:00
2022-06-27,London,Purge High,2022-06-27 03:33:00-04:00,2022-06-27 03:44:00-04:00
2022-06-29,London,Purge Low,2022-06-29 02:50:00-04:00,2022-06-29 03:15:00-04:00
2022-07-01,London,Purge Low,2022-07-01 02:01:00-04:00,2022-07-01 02:01:00-04:00
2022-07-05,London,Purge Low,2022-07-05 05:10:00-04:00,2022-07-05 05:10:00-04:00
2022-07-07,London,Purge High,2022-07-07 02:00:00-04:00,2022-07-07 02:33:00-04:00
2022-07-11,London,Purge Low,2022-07-11 02:08:00-04:00,2022-07-11 02:08:00-04:00
2022-07-12,London,Purge Low,2022-07-12 02:01:00-04:00,2022-07-12 02:02:00-04:00
2022-07-13,London,Purge High,2022-07-13 02:42:00-04:00,2022-07-13 02:42:00-04:00
2022-07-14,London,Purge Low,2022-07-14 04:00:00-04:00,2022-07-14 04:00:00-04:00
2022-07-18,London,Purge High,2022-07-18 02:00:00-04:00,2022-07-18 02:15:00-04:00
